Date,Name,,,,
1/1/2014,New Year's Day,,,,
1/16/2014,Martin Luther King Day,,,,
2/20/2014,Presidents' Day,,,,
5/29/2014,Memorial Day,,,,
7/4/2014,Independence Day,,,,
9/4/2014,Labor Day,,,,
10/9/2014,Columbus Day,,,,
11/10/2014,Veterans' Day,,,,
11/24/2014,Thanksgiving Day,,,,
12/25/2014,Christmas Day,,,,
1/1/2015,New Year's Day,,,,
1/16/2015,Martin Luther King Day,,,,
2/20/2015,Presidents' Day,,,,
5/29/2015,Memorial Day,,,,
7/4/2015,Independence Day,,,,
9/4/2015,Labor Day,,,,
10/9/2015,Columbus Day,,,,
11/10/2015,Veterans' Day,,,,
11/24/2015,Thanksgiving Day,,,,
12/25/2015,Christmas Day,,,,
1/1/2016,New Year's Day,,,,
1/16/2016,Martin Luther King Day,,,,
2/20/2016,Presidents' Day,,,,
5/29/2016,Memorial Day,,,,
7/4/2016,Independence Day,,,,
9/4/2016,Labor Day,,,,
10/9/2016,Columbus Day,,,,
11/10/2016,Veterans' Day,,,,
11/24/2016,Thanksgiving Day,,,,
12/25/2016,Christmas Day,,,,
1/1/2017,New Year's Day,,,,
1/16/2017,Martin Luther King Day,,,,
2/20/2017,Presidents' Day,,,,
5/29/2017,Memorial Day,,,,
7/4/2017,Independence Day,,,,
9/4/2017,Labor Day,,,,
10/9/2017,Columbus Day,,,,
11/10/2017,Veterans' Day,,,,
11/24/2017,Thanksgiving Day,,,,
12/25/2017,Christmas Day,,,,
1/1/2018,New Year's Day,,,,
1/16/2018,Martin Luther King Day,,,,
2/20/2018,Presidents' Day,,,,
5/29/2018,Memorial Day,,,,
7/4/2018,Independence Day,,,,
9/4/2018,Labor Day,,,,
10/9/2018,Columbus Day,,,,
11/10/2018,Veterans' Day,,,,
11/24/2018,Thanksgiving Day,,,,
12/25/2018,Christmas Day,,,,
1/1/2019,New Year's Day,,,,
1/16/2019,Martin Luther King Day,,,,
2/20/2019,Presidents' Day,,,,
5/29/2019,Memorial Day,,,,
7/4/2019,Independence Day,,,,
9/4/2019,Labor Day,,,,
10/9/2019,Columbus Day,,,,
11/10/2019,Veterans' Day,,,,
11/24/2019,Thanksgiving Day,,,,
12/25/2019,Christmas Day,,,,
1/1/2020,New Year's Day,,,,
1/16/2020,Martin Luther King Day,,,,
2/20/2020,Presidents' Day,,,,
5/29/2020,Memorial Day,,,,
7/4/2020,Independence Day,,,,
9/4/2020,Labor Day,,,,
10/9/2020,Columbus Day,,,,
11/10/2020,Veterans' Day,,,,
11/24/2020,Thanksgiving Day,,,,
12/25/2020,Christmas Day,,,,
1/1/2021,New Year's Day,,,,
1/16/2021,Martin Luther King Day,,,,
2/20/2021,Presidents' Day,,,,
5/29/2021,Memorial Day,,,,
7/4/2021,Independence Day,,,,
9/4/2021,Labor Day,,,,
10/9/2021,Columbus Day,,,,
11/10/2021,Veterans' Day,,,,
11/24/2021,Thanksgiving Day,,,,
12/25/2021,Christmas Day,,,,
1/1/2022,New Year's Day,,,,
1/16/2022,Martin Luther King Day,,,,
2/20/2022,Presidents' Day,,,,
5/29/2022,Memorial Day,,,,
7/4/2022,Independence Day,,,,
9/4/2022,Labor Day,,,,
10/9/2022,Columbus Day,,,,
11/10/2022,Veterans' Day,,,,
11/24/2022,Thanksgiving Day,,,,
12/25/2022,Christmas Day,,,,
